sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
22N13790	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13790	22N13790-22N13790-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13790_S64_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13790_S64_L001_R2_001.fastq.gz	3095696.08	3177806.152
22N13798	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13798	22N13798-22N13798-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13798_S65_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13798_S65_L001_R2_001.fastq.gz	2272707.07	2262753.775
22N13800	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13800	22N13800-22N13800-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13800_S66_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13800_S66_L001_R2_001.fastq.gz	1709341.756	1733052.027
22N13811	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13811	22N13811-22N13811-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13811_S67_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13811_S67_L001_R2_001.fastq.gz	1395208.252	1465553.276
22N13812	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13812	22N13812-22N13812-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13812_S68_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13812_S68_L001_R2_001.fastq.gz	2497327.65	2630228.451
22N13813	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13813	22N13813-22N13813-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13813_S69_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13813_S69_L001_R2_001.fastq.gz	1167996.746	1235606.045
22N13814	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13814	22N13814-22N13814-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13814_S70_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13814_S70_L001_R2_001.fastq.gz	2161935.934	2260517.034
22N13815	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13815	22N13815-22N13815-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13815_S71_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13815_S71_L001_R2_001.fastq.gz	2118315.574	2233174.304
22N13816	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13816	22N13816-22N13816-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13816_S72_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13816_S72_L001_R2_001.fastq.gz	2474330.098	2585565.765
22N13817	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13817	22N13817-22N13817-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13817_S73_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13817_S73_L001_R2_001.fastq.gz	1936270.61	2014486.427
22N13818	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13818	22N13818-22N13818-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13818_S74_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13818_S74_L001_R2_001.fastq.gz	2841355.051	3025846.832
22N13819	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13819	22N13819-22N13819-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13819_S75_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13819_S75_L001_R2_001.fastq.gz	3130553.79	3345220.007
22N13820	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13820	22N13820-22N13820-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13820_S76_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13820_S76_L001_R2_001.fastq.gz	1779004.202	1869318.272
22N13821	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13821	22N13821-22N13821-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13821_S77_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13821_S77_L001_R2_001.fastq.gz	2550420.589	2702759.461
22N13822	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13822	22N13822-22N13822-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13822_S78_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13822_S78_L001_R2_001.fastq.gz	1900206.766	1987731.934
22N13823	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13823	22N13823-22N13823-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13823_S79_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13823_S79_L001_R2_001.fastq.gz	2119427.022	2121594.559
22N13824	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13824	22N13824-22N13824-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13824_S80_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13824_S80_L001_R2_001.fastq.gz	2411776.078	2524661.273
22N13825	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13825	22N13825-22N13825-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13825_S81_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13825_S81_L001_R2_001.fastq.gz	1929129.419	2022155.221
22N13829	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13829	22N13829-22N13829-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13829_S82_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13829_S82_L001_R2_001.fastq.gz	2050914.357	2145145.73
22N13837	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13837	22N13837-22N13837-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13837_S84_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13837_S84_L001_R2_001.fastq.gz	2940455.961	3148042.014
22N13838	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13838	22N13838-22N13838-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13838_S85_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13838_S85_L001_R2_001.fastq.gz	3148901.893	3215084.096
22N13839	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13839	22N13839-22N13839-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13839_S86_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13839_S86_L001_R2_001.fastq.gz	2561190.943	2677765.675
22N13840	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13840	22N13840-22N13840-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13840_S87_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13840_S87_L001_R2_001.fastq.gz	2917409.903	3027501.668
22N13843	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13843	22N13843-22N13843-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13843_S88_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13843_S88_L001_R2_001.fastq.gz	2705744.837	2839489.049
22N13844	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13844	22N13844-22N13844-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13844_S89_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13844_S89_L001_R2_001.fastq.gz	3293180.835	3495943.242
22N13845	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13845	22N13845-22N13845-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13845_S90_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13845_S90_L001_R2_001.fastq.gz	2700111.082	2892479.459
22N13846	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13846	22N13846-22N13846-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13846_S91_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13846_S91_L001_R2_001.fastq.gz	3353447.764	3536327.429
22N13847	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13847	22N13847-22N13847-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13847_S92_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13847_S92_L001_R2_001.fastq.gz	2956232.872	3075827.428
22N13848	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13848	22N13848-22N13848-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13848_S93_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13848_S93_L001_R2_001.fastq.gz	2307887.449	2350347.15
22N13849	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13849	22N13849-22N13849-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13849_S94_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13849_S94_L001_R2_001.fastq.gz	3448444.166	3531966.166
22N13850	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13850	22N13850-22N13850-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13850_S95_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13850_S95_L001_R2_001.fastq.gz	2677669.978	2677104.407
22N13851	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13851	22N13851-22N13851-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13851_S96_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13851_S96_L001_R2_001.fastq.gz	3043885.269	3031730.762
22N13852	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13852	22N13852-22N13852-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13852_S97_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13852_S97_L001_R2_001.fastq.gz	2826850.295	2877077.126
